6.8662	10.3114
6.9873	10.1903
7.0842	10.1419
7.4475	10.1176
8.0166	10.1540
8.4283	10.1782
9.0823	10.2993
9.4940	10.3719
10.1964	10.4567
10.4507	10.4930
10.6929	10.4809
11.0077	10.4688
11.4558	10.4204
11.8675	10.3841
12.2429	10.3841
12.8968	10.3841
13.2601	10.4083
13.7203	10.4809
14.3500	10.5294
14.8101	10.5778
15.3793	10.6020
15.9242	10.6747
16.3602	10.7110
17.0383	10.7352
17.5712	10.7595
18.5884	10.7110
19.1091	10.6868
19.2302	10.7837
19.1333	10.9774
18.7458	11.1349
18.3220	11.3286
17.8618	11.3649
17.1473	11.4618
16.4450	11.5103
15.3309	11.5224
14.3500	11.5103
13.7203	11.4981
13.1511	11.5103
12.4609	11.5103
11.8312	11.5345
11.0440	11.5587
10.0874	11.5103
9.4940	11.4134
8.5979	11.1833
7.9318	11.0380
7.2658	10.7473
6.9631	10.5415
